City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
255,Oranjemund,NA,-28.55,16.4333,62.62,78,1,11.36,clear sky
256,Singaraja,ID,-8.112,115.0882,78.85,86,84,2.37,broken clouds
257,Natal,BR,-5.795,-35.2094,84.85,69,20,18.41,few clouds
258,Sabha,LY,27.0377,14.4283,55.11,46,6,10.96,clear sky
259,Yamada,JP,39.4667,141.95,39.78,68,9,5.37,clear sky
260,Muros,ES,42.7762,-9.0603,51.1,93,45,13.94,scattered clouds
261,Hilo,US,19.7297,-155.09,79.25,75,0,5.99,clear sky
262,Upington,ZA,-28.4478,21.2561,80.98,18,0,5.75,clear sky
263,Leh,IN,34.1667,77.5833,14.9,53,0,2.39,clear sky
264,Shetpe,KZ,44.1667,52.1167,40.62,72,100,11.54,overcast clouds
265,Kingsport,US,36.5484,-82.5618,68.92,50,20,29.93,few clouds
266,Kungurtug,RU,50.5994,97.5228,-24.03,98,100,1.54,overcast clouds
267,Aras,ES,42.5617,-2.356,45.03,87,75,2.3,light rain
268,Samarai,PG,-10.6167,150.6667,81.34,76,100,5.75,overcast clouds
269,Georgetown,MY,5.4112,100.3354,80.24,92,20,1.14,few clouds
270,Ruteng,ID,-8.6136,120.4721,62.71,88,99,0.38,overcast clouds
271,Port Hardy,CA,50.6996,-127.4199,41.18,87,75,12.66,broken clouds
272,Malakal,SS,9.5334,31.6605,79.57,33,64,3.33,broken clouds
273,Nome,US,64.5011,-165.4064,10.47,73,100,0.0,overcast clouds
274,Lorengau,PG,-2.0226,147.2712,81.16,75,29,6.67,scattered clouds
275,Harnai,PK,30.1005,67.9374,58.87,19,1,1.92,clear sky
276,Gold Coast,AU,-28.0,153.4333,73.47,88,100,10.36,overcast clouds
277,Tura,IN,25.5198,90.2201,59.9,86,0,3.51,clear sky
278,Hualmay,PE,-11.0964,-77.6139,71.01,74,51,8.46,broken clouds
279,Det Udom,TH,14.906,105.0784,75.02,85,20,3.8,few clouds
280,Grand Gaube,MU,-20.0064,57.6608,73.8,72,2,3.0,clear sky
281,Bubaque,GW,11.2833,-15.8333,82.47,53,100,6.53,overcast clouds
282,Hasaki,JP,35.7333,140.8333,43.2,57,100,4.94,overcast clouds
283,Lata,PT,40.1629,-8.3327,54.07,93,100,7.63,overcast clouds
284,Sosva,RU,59.1766,61.8558,-0.02,97,15,5.03,few clouds
285,Hamamatsu,JP,34.7,137.7333,55.02,84,100,1.01,overcast clouds
286,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,100,75,4.47,snow
287,Frei Paulo,BR,-10.5494,-37.5344,78.28,71,84,14.14,light rain
288,Bambanglipuro,ID,-7.95,110.2833,74.71,96,100,1.34,overcast clouds
289,San Jose,US,37.3394,-121.895,68.67,46,75,4.0,broken clouds
290,Cockburn Town,TC,21.4612,-71.1419,80.58,69,6,11.97,clear sky
291,Vila Velha,BR,-20.3297,-40.2925,76.95,88,100,13.8,light rain
292,Sola,VU,-13.8833,167.55,81.19,76,73,12.71,light rain
293,Sambava,MG,-14.2667,50.1667,73.45,83,97,11.18,overcast clouds
294,Jardim,BR,-21.4803,-56.1381,89.82,38,21,12.57,few clouds
295,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,72,0,12.66,clear sky
296,Ridgetown,CA,42.4334,-81.8998,44.46,97,100,10.18,overcast clouds
297,Lavrentiya,RU,65.5833,-171.0,14.77,93,97,8.43,overcast clouds
298,Fortuna,US,40.5982,-124.1573,54.93,67,0,11.5,clear sky
299,Aquiraz,BR,-3.9014,-38.3911,84.29,74,100,10.92,overcast clouds
300,Saint-Joseph,RE,-21.3667,55.6167,70.18,69,3,5.73,clear sky
301,Harper,LR,4.375,-7.7169,78.93,80,34,7.74,scattered clouds
302,Puerto Madryn,AR,-42.7692,-65.0385,71.73,54,100,15.9,overcast clouds
303,Sinop,TR,41.7711,34.8709,40.28,85,15,4.07,few clouds
304,Moundsville,US,39.9203,-80.7431,61.16,82,100,14.81,overcast clouds
305,Kulhudhuffushi,MV,6.6221,73.07,80.42,72,94,6.87,overcast clouds
306,Saquarema,BR,-22.92,-42.5103,77.14,92,91,14.18,overcast clouds
307,Mayahi,NE,13.9553,7.6712,72.72,15,1,9.06,clear sky
308,Khatanga,RU,71.9667,102.5,-27.45,100,69,1.07,broken clouds
309,Bowmore,US,34.9421,-79.3031,76.84,69,75,13.8,broken clouds
310,Quatre Cocos,MU,-20.2078,57.7625,73.51,71,2,8.46,clear sky
